t,phase,hip_pos,knee_pos,hip_vel_est,knee_vel_est,hip_vel_real,knee_vel_real,foot_x,foot_z,foot_vx,foot_vz,foot_z_world,tau_hip,tau_knee,foot_compression,foot_spring_vel,Fn_sensor
0.005,FLIGHT,1.0424,0.9071,-0.8654,1.3163,-3.2175,5.2853,0.1049,-0.2099,-0.3943,-0.1197,1.0755,-2.7425,3.2279,7e-05,0.022,0.0
0.01,FLIGHT,1.0171,0.9476,-3.8746,6.1491,-6.2556,9.6684,0.093,-0.2131,-1.8257,-0.4297,1.0768,-0.957,2.0127,0.000195,0.0264,0.0
0.015,FLIGHT,0.9862,0.993,-5.3838,8.0027,-5.6705,7.8646,0.079,-0.216,-2.4674,-0.4162,1.0782,0.1626,1.2332,0.000314,0.0192,0.0
0.02,FLIGHT,0.9624,1.0242,-4.8586,6.6305,-3.8732,4.7685,0.0687,-0.2176,-2.1359,-0.267,1.0792,0.1708,1.2327,0.000371,0.0002,0.0
0.025,FLIGHT,0.9462,1.0436,-3.6964,4.7,-2.7567,3.3321,0.062,-0.2184,-1.5698,-0.1548,1.0799,-0.2079,1.5096,0.000316,-0.0183,0.0037
0.03,FLIGHT,0.9333,1.0601,-2.9317,3.7509,-2.5024,3.3745,0.0565,-0.2188,-1.2482,-0.0885,1.0805,-0.3996,1.6529,0.000233,-0.0137,0.0027
0.035,FLIGHT,0.9208,1.0778,-2.645,3.6302,-2.5035,3.6769,0.0509,-0.2191,-1.164,-0.0422,1.081,-0.3408,1.6162,0.000179,-0.0081,0.0016
0.04,FLIGHT,0.9086,1.0961,-2.4987,3.6532,-2.3454,3.5988,0.0453,-0.2192,-1.1328,-0.0022,1.0815,-0.2103,1.5285,0.000149,-0.0044,0.0009
0.045,FLIGHT,0.8976,1.1133,-2.27,3.4767,-2.0167,3.2295,0.0402,-0.2191,-1.051,0.0301,1.082,-0.1348,1.4813,0.000132,-0.0024,0.0005
0.05,FLIGHT,0.8884,1.1284,-1.9577,3.1574,-1.6659,2.8594,0.0358,-0.2189,-0.9285,0.0523,1.0823,-0.1201,1.4783,0.000123,-0.0013,0.0003
0.055,FLIGHT,0.8808,1.1421,-1.6446,2.8545,-1.383,2.6201,0.0319,-0.2186,-0.809,0.0677,1.0826,-0.1224,1.4875,0.000119,-0.0005,0.0001
0.06,FLIGHT,0.8745,1.1548,-1.3793,2.6368,-1.1648,2.477,0.0286,-0.2182,-0.7141,0.0795,1.0828,-0.1141,1.4883,0.000118,0.0003,0.0
0.065,FLIGHT,0.8692,1.1669,-1.1588,2.4819,-0.9752,2.3579,0.0255,-0.2178,-0.6392,0.0891,1.0829,-0.0949,1.481,0.000121,0.0009,0.0
0.07,FLIGHT,0.8647,1.1784,-0.9627,2.3486,-0.7935,2.2316,0.0228,-0.2174,-0.5734,0.0962,1.083,-0.0749,1.4728,0.000127,0.0013,0.0
0.075,FLIGHT,0.8612,1.1892,-0.7792,2.2189,-0.62,2.1045,0.0203,-0.2169,-0.5114,0.1007,1.083,-0.0598,1.468,0.000134,0.0016,0.0
0.08,FLIGHT,0.8585,1.1994,-0.6082,2.0956,-0.4618,1.9904,0.0182,-0.2164,-0.4535,0.1032,1.083,-0.0491,1.4662,0.000143,0.0018,0.0
0.085,FLIGHT,0.8566,1.2091,-0.453,1.9855,-0.3218,1.8936,0.0162,-0.2159,-0.4015,0.1044,1.083,-0.0404,1.4655,0.000152,0.0019,0.0
0.09,FLIGHT,0.8553,1.2184,-0.3148,1.89,-0.1985,1.8104,0.0146,-0.2154,-0.3558,0.1049,1.0829,-0.0322,1.4649,0.000162,0.002,0.0
0.095,FLIGHT,0.8546,1.2273,-0.1923,1.8063,-0.0888,1.7356,0.0131,-0.2149,-0.3156,0.1047,1.0827,-0.0245,1.4644,0.000173,0.0021,0.0
0.1,FLIGHT,0.8544,1.2358,-0.0831,1.7311,0.0092,1.667,0.0117,-0.2143,-0.2797,0.1041,1.0825,-0.0177,1.4642,0.000183,0.0021,0.0
0.105,FLIGHT,0.8546,1.2439,0.0143,1.6626,0.0964,1.604,0.0105,-0.2138,-0.2477,0.103,1.0823,-0.012,1.4645,0.000193,0.0021,0.0
0.11,FLIGHT,0.8553,1.2518,0.1008,1.6001,0.1736,1.5466,0.0095,-0.2133,-0.2191,0.1017,1.0821,-0.0071,1.4653,0.000203,0.002,0.0
0.115,FLIGHT,0.8563,1.2594,0.1772,1.5431,0.2412,1.4943,0.0086,-0.2129,-0.1937,0.1002,1.0818,-0.003,1.4664,0.000213,0.0019,0.0
0.12,FLIGHT,0.8577,1.2668,0.2442,1.491,0.3004,1.4465,0.0078,-0.2124,-0.1711,0.0986,1.0815,0.0005,1.4677,0.000223,0.0018,0.0
