t,phase,hip_pos,knee_pos,hip_vel_est,knee_vel_est,hip_vel_real,knee_vel_real,foot_x,foot_z,foot_vx,foot_vz,foot_z_world,tau_hip,tau_knee,foot_compression,foot_spring_vel,Fn_sensor
0.005,FLIGHT,1.0453,0.9016,-0.3387,0.3049,-1.2636,1.2868,0.1064,-0.2095,-0.1201,-0.0431,1.0752,-2.9791,3.3799,3.9e-05,0.0144,0.0
0.01,FLIGHT,1.0342,0.9134,-1.7152,1.8125,-3.0884,3.3353,0.1021,-0.2109,-0.6551,-0.2108,1.0757,-2.3461,2.9597,0.000127,0.0197,0.0
0.015,FLIGHT,1.0155,0.9338,-3.1437,3.4107,-4.2645,4.6789,0.0949,-0.2131,-1.224,-0.3437,1.0765,-1.5595,2.4287,0.000226,0.0189,0.0
0.02,FLIGHT,0.9927,0.9591,-4.14,4.5603,-4.7944,5.341,0.0859,-0.2154,-1.6347,-0.3805,1.0775,-0.8851,1.9682,0.00031,0.0144,0.0
0.025,FLIGHT,0.9684,0.9863,-4.6172,5.1668,-4.8321,5.4875,0.0762,-0.2174,-1.8458,-0.3368,1.0786,-0.399,1.6332,0.000367,0.0085,0.0
0.03,FLIGHT,0.9449,1.0134,-4.6643,5.3226,-4.5544,5.3025,0.0666,-0.2189,-1.8865,-0.2515,1.0796,-0.0887,1.4184,0.000396,0.003,0.0
0.035,FLIGHT,0.9232,1.039,-4.4188,5.1705,-4.1073,4.9373,0.0577,-0.2198,-1.8086,-0.1576,1.0805,0.0884,1.2969,0.0004,-0.0013,0.0003
0.04,FLIGHT,0.9039,1.0626,-4.0063,4.841,-3.5927,4.4982,0.0497,-0.2203,-1.662,-0.0743,1.0814,0.1763,1.2393,0.000385,-0.0042,0.0008
0.045,FLIGHT,0.8873,1.084,-3.5208,4.4319,-3.0737,4.051,0.0426,-0.2205,-1.4849,-0.0087,1.0821,0.2103,1.2212,0.00036,-0.0059,0.0012
0.05,FLIGHT,0.8731,1.1032,-3.0234,4.0069,-2.5845,3.6319,0.0364,-0.2204,-1.3023,0.0389,1.0826,0.2146,1.2253,0.000328,-0.0065,0.0013
0.055,FLIGHT,0.8613,1.1204,-2.5489,3.603,-2.1405,3.2571,0.0311,-0.2201,-1.1288,0.0712,1.0831,0.2046,1.2403,0.000296,-0.0064,0.0013
0.06,FLIGHT,0.8516,1.1358,-2.1147,3.2381,-1.7462,2.9313,0.0265,-0.2197,-0.9713,0.0919,1.0834,0.1891,1.2594,0.000266,-0.0058,0.0012
0.065,FLIGHT,0.8438,1.1498,-1.7267,2.9184,-1.4001,2.6525,0.0226,-0.2192,-0.8322,0.1042,1.0836,0.1726,1.2793,0.000239,-0.0049,0.001
0.07,FLIGHT,0.8376,1.1624,-1.3845,2.6434,-1.0978,2.4162,0.0193,-0.2187,-0.7112,0.1108,1.0837,0.1572,1.2981,0.000217,-0.0039,0.0008
0.075,FLIGHT,0.8328,1.174,-1.085,2.4094,-0.8345,2.2168,0.0165,-0.2182,-0.6069,0.1136,1.0838,0.1437,1.3152,0.0002,-0.0028,0.0006
0.08,FLIGHT,0.8292,1.1847,-0.8236,2.2114,-0.6052,2.0487,0.0141,-0.2177,-0.5172,0.1139,1.0838,0.1319,1.3305,0.000189,-0.0019,0.0004
0.085,FLIGHT,0.8267,1.1945,-0.5958,2.0444,-0.4055,1.9072,0.012,-0.2171,-0.4403,0.1127,1.0837,0.1218,1.3442,0.000181,-0.001,0.0002
0.09,FLIGHT,0.8251,1.2038,-0.3973,1.9035,-0.2316,1.7879,0.0103,-0.2166,-0.3744,0.1106,1.0835,0.113,1.3565,0.000178,-0.0003,0.0001
0.095,FLIGHT,0.8243,1.2124,-0.2244,1.7847,-0.08,1.6871,0.0088,-0.2161,-0.3178,0.1081,1.0833,0.1053,1.3676,0.000178,0.0003,0.0
0.1,FLIGHT,0.8242,1.2207,-0.0739,1.6844,0.0518,1.602,0.0075,-0.2156,-0.2692,0.1055,1.0831,0.0983,1.3777,0.000181,0.0008,0.0
0.105,FLIGHT,0.8248,1.2285,0.0571,1.5996,0.1664,1.5298,0.0065,-0.2151,-0.2275,0.1028,1.0828,0.092,1.3869,0.000185,0.0011,0.0
0.11,FLIGHT,0.8259,1.236,0.1709,1.5278,0.2657,1.4686,0.0056,-0.2146,-0.1917,0.1003,1.0825,0.0862,1.3954,0.000192,0.0014,0.0
0.115,FLIGHT,0.8274,1.2432,0.2695,1.4668,0.3515,1.4164,0.0048,-0.2141,-0.161,0.0979,1.0821,0.0808,1.4032,0.000199,0.0016,0.0
0.12,FLIGHT,0.8294,1.2502,0.3547,1.4148,0.4254,1.3718,0.0042,-0.2136,-0.1348,0.0957,1.0818,0.0758,1.4105,0.000207,0.0017,0.0
0.125,FLIGHT,0.8317,1.2569,0.428,1.3704,0.4888,1.3335,0.0037,-0.2132,-0.1123,0.0937,1.0814,0.0711,1.4173,0.000216,0.0017,0.0
0.13,FLIGHT,0.8342,1.2635,0.4908,1.3322,0.5427,1.3004,0.0033,-0.2127,-0.0931,0.092,1.0809,0.0667,1.4237,0.000225,0.0017,0.0
0.135,FLIGHT,0.8371,1.2699,0.5443,1.2991,0.5884,1.2715,0.0029,-0.2123,-0.0767,0.0904,1.0805,0.0626,1.4296,0.000234,0.0017,0.0
0.14,FLIGHT,0.8401,1.2762,0.5896,1.2703,0.6268,1.2461,0.0026,-0.2118,-0.0628,0.089,1.0801,0.0588,1.4352,0.000242,0.0016,0.0
0.145,FLIGHT,0.8433,1.2824,0.6277,1.2449,0.6587,1.2235,0.0024,-0.2114,-0.051,0.0878,1.0796,0.0551,1.4405,0.00025,0.0016,0.0
0.15,FLIGHT,0.8467,1.2885,0.6592,1.2223,0.6848,1.2031,0.0022,-0.211,-0.0411,0.0867,1.0792,0.0517,1.4455,0.000257,0.0015,0.0
0.155,FLIGHT,0.8502,1.2944,0.6851,1.2019,0.7059,1.1845,0.0021,-0.2105,-0.0327,0.0856,1.0787,0.0484,1.4503,0.000264,0.0013,0.0
0.16,FLIGHT,0.8537,1.3003,0.7059,1.1833,0.7225,1.1672,0.002,-0.2101,-0.0256,0.0847,1.0782,0.0454,1.4548,0.000271,0.0012,0.0
0.165,FLIGHT,0.8574,1.3061,0.7223,1.166,0.7352,1.151,0.0019,-0.2097,-0.0198,0.0838,1.0777,0.0425,1.4591,0.000277,0.0011,0.0
0.17,FLIGHT,0.8611,1.3118,0.7349,1.1498,0.7445,1.1356,0.0018,-0.2093,-0.0149,0.083,1.0772,0.0397,1.4631,0.000282,0.001,0.0
0.175,FLIGHT,0.8648,1.3175,0.7439,1.1343,0.7507,1.1207,0.0018,-0.2089,-0.0109,0.0822,1.0767,0.0371,1.4671,0.000286,0.0009,0.0
0.18,FLIGHT,0.8686,1.323,0.75,1.1194,0.7542,1.1062,0.0017,-0.2085,-0.0076,0.0814,1.0762,0.0346,1.4708,0.00029,0.0007,0.0
0.185,FLIGHT,0.8724,1.3285,0.7534,1.1048,0.7554,1.0919,0.0017,-0.2081,-0.0049,0.0806,1.0756,0.0322,1.4744,0.000294,0.0006,0.0
0.19,FLIGHT,0.8761,1.3339,0.7546,1.0905,0.7546,1.0777,0.0017,-0.2077,-0.0028,0.0799,1.0751,0.03,1.4779,0.000297,0.0005,0.0
0.195,FLIGHT,0.8799,1.3393,0.7537,1.0763,0.7521,1.0636,0.0017,-0.2073,-0.001,0.0791,1.0746,0.0278,1.4812,0.000299,0.0004,0.0
0.2,FLIGHT,0.8837,1.3446,0.751,1.0621,0.748,1.0494,0.0017,-0.2069,0.0003,0.0783,1.074,0.0258,1.4844,0.000301,0.0004,0.0
0.205,FLIGHT,0.8874,1.3498,0.7469,1.0479,0.7425,1.0352,0.0017,-0.2065,0.0014,0.0775,1.0735,0.0238,1.4875,0.000303,0.0003,0.0
0.21,FLIGHT,0.8911,1.3549,0.7414,1.0337,0.736,1.0208,0.0017,-0.2061,0.0021,0.0767,1.0729,0.0219,1.4905,0.000304,0.0002,0.0
0.215,FLIGHT,0.8947,1.36,0.7348,1.0193,0.7284,1.0063,0.0017,-0.2058,0.0027,0.0758,1.0723,0.0201,1.4933,0.000305,0.0001,0.0
0.22,FLIGHT,0.8984,1.365,0.7272,1.0047,0.7201,0.9916,0.0018,-0.2054,0.0031,0.075,1.0717,0.0184,1.4961,0.000305,0.0001,0.0
0.225,FLIGHT,0.9019,1.3699,0.7188,0.9901,0.711,0.9768,0.0018,-0.205,0.0033,0.0741,1.0712,0.0167,1.4988,0.000306,0.0,0.0
0.23,FLIGHT,0.9055,1.3748,0.7097,0.9752,0.7013,0.9619,0.0018,-0.2047,0.0035,0.0732,1.0706,0.0151,1.5015,0.000306,-0.0,0.0
0.235,FLIGHT,0.909,1.3795,0.7,0.9602,0.6911,0.9467,0.0018,-0.2043,0.0035,0.0722,1.0699,0.0135,1.504,0.000305,-0.0001,0.0
0.24,FLIGHT,0.9124,1.3842,0.6898,0.9451,0.6805,0.9315,0.0018,-0.2039,0.0035,0.0713,1.0693,0.012,1.5065,0.000305,-0.0001,0.0
0.245,FLIGHT,0.9158,1.3888,0.6792,0.9298,0.6696,0.9161,0.0019,-0.2036,0.0034,0.0703,1.0687,0.0106,1.5089,0.000304,-0.0001,0.0
0.25,FLIGHT,0.9191,1.3934,0.6683,0.9145,0.6584,0.9007,0.0019,-0.2032,0.0032,0.0693,1.068,0.0091,1.5112,0.000304,-0.0002,0.0
0.255,FLIGHT,0.9223,1.3979,0.6571,0.899,0.647,0.8851,0.0019,-0.2029,0.003,0.0683,1.0674,0.0078,1.5135,0.000303,-0.0002,0.0
0.26,FLIGHT,0.9256,1.4022,0.6457,0.8835,0.6354,0.8695,0.0019,-0.2026,0.0028,0.0673,1.0667,0.0064,1.5157,0.000302,-0.0002,0.0
0.265,FLIGHT,0.9287,1.4065,0.6341,0.8678,0.6237,0.8538,0.0019,-0.2022,0.0026,0.0663,1.066,0.0051,1.5178,0.000301,-0.0002,0.0
0.27,FLIGHT,0.9318,1.4108,0.6224,0.8522,0.6119,0.8382,0.0019,-0.2019,0.0024,0.0652,1.0653,0.0039,1.5199,0.0003,-0.0002,0.0
0.275,FLIGHT,0.9348,1.4149,0.6107,0.8365,0.6001,0.8225,0.0019,-0.2016,0.0022,0.0642,1.0646,0.0027,1.5219,0.000298,-0.0003,0.0001
0.28,FLIGHT,0.9378,1.419,0.5989,0.8209,0.5883,0.8068,0.0019,-0.2013,0.0019,0.0631,1.0639,0.0015,1.5239,0.000297,-0.0003,0.0001
0.285,FLIGHT,0.9407,1.423,0.5871,0.8052,0.5765,0.7912,0.002,-0.201,0.0017,0.062,1.0632,0.0003,1.5258,0.000295,-0.0003,0.0001
0.29,FLIGHT,0.9436,1.4269,0.5753,0.7896,0.5647,0.7756,0.002,-0.2007,0.0015,0.061,1.0624,-0.0008,1.5277,0.000294,-0.0003,0.0001
0.295,FLIGHT,0.9463,1.4308,0.5635,0.774,0.5531,0.7601,0.002,-0.2004,0.0013,0.0599,1.0616,-0.002,1.5295,0.000293,-0.0003,0.0001
0.3,FLIGHT,0.9491,1.4345,0.5519,0.7586,0.5414,0.7447,0.002,-0.2001,0.0011,0.0588,1.0609,-0.003,1.5313,0.000291,-0.0003,0.0001
0.305,FLIGHT,0.9518,1.4382,0.5403,0.7432,0.5299,0.7294,0.002,-0.1998,0.0009,0.0577,1.0601,-0.0041,1.533,0.000289,-0.0003,0.0001
0.31,FLIGHT,0.9544,1.4418,0.5287,0.7279,0.5185,0.7142,0.002,-0.1995,0.0007,0.0566,1.0593,-0.0051,1.5347,0.000288,-0.0003,0.0001
0.315,FLIGHT,0.9569,1.4453,0.5173,0.7127,0.5072,0.6992,0.002,-0.1993,0.0005,0.0555,1.0584,-0.0061,1.5363,0.000286,-0.0003,0.0001
0.32,FLIGHT,0.9595,1.4488,0.5061,0.6977,0.496,0.6843,0.002,-0.199,0.0003,0.0545,1.0576,-0.0071,1.5379,0.000285,-0.0003,0.0001
0.325,FLIGHT,0.9619,1.4522,0.4949,0.6828,0.485,0.6695,0.002,-0.1987,0.0001,0.0534,1.0567,-0.0081,1.5395,0.000283,-0.0003,0.0001
