t,phase,hip_pos,knee_pos,hip_vel_est,knee_vel_est,hip_vel_real,knee_vel_real,foot_x,foot_z,foot_vx,foot_vz,foot_z_world,tau_hip,tau_knee,foot_compression,foot_spring_vel,Fn_sensor
0.005,FLIGHT,1.0453,0.9016,-0.3432,0.3092,-1.2883,1.3156,0.1064,-0.2095,-0.1218,-0.0437,1.0752,-2.9787,3.3798,3.9e-05,0.0145,0.0
0.01,FLIGHT,1.0338,0.914,-1.7837,1.9037,-3.255,3.5641,0.102,-0.211,-0.6844,-0.2189,1.0758,-2.3178,2.9412,0.000129,0.0203,0.0
0.015,FLIGHT,1.0137,0.9363,-3.3597,3.7143,-4.6398,5.2179,0.0941,-0.2133,-1.3202,-0.363,1.0766,-1.453,2.3571,0.000232,0.0199,0.0
0.02,FLIGHT,0.9885,0.9651,-4.5431,5.151,-5.3646,6.1996,0.084,-0.2158,-1.8197,-0.4013,1.0778,-0.665,1.8174,0.000321,0.0155,0.0
0.025,FLIGHT,0.9611,0.9973,-5.1863,6.0434,-5.5248,6.5996,0.0728,-0.2179,-2.1145,-0.3419,1.079,-0.058,1.3961,0.000383,0.0092,0.0
0.03,FLIGHT,0.9339,1.0303,-5.3319,6.4235,-5.2719,6.5651,0.0615,-0.2193,-2.2118,-0.2271,1.0802,0.3564,1.1054,0.000414,0.0031,0.0
0.035,FLIGHT,0.9088,1.0624,-5.0965,6.4029,-4.7536,6.243,0.0508,-0.2201,-2.1533,-0.099,1.0814,0.6064,0.9299,0.000415,-0.0024,0.0005
0.04,FLIGHT,0.8866,1.0925,-4.6076,6.1083,-4.0907,5.7566,0.0411,-0.2202,-1.9896,0.0142,1.0824,0.7314,0.8443,0.000379,-0.0131,0.0026
0.045,FLIGHT,0.868,1.1199,-3.9755,5.6519,-3.3723,5.1985,0.0326,-0.2199,-1.7666,0.1,1.0833,0.7689,0.8233,0.000281,-0.026,0.0052
0.05,FLIGHT,0.8529,1.1444,-3.2848,5.1213,-2.659,4.6328,0.0255,-0.2193,-1.5199,0.1563,1.084,0.7499,0.8452,0.000123,-0.0366,0.0073
0.055,FLIGHT,0.8413,1.1663,-2.5943,4.5784,-1.9884,4.1,0.0195,-0.2185,-1.2741,0.1876,1.0845,0.6973,0.8926,-7.7e-05,-0.0424,0.0086
0.06,FLIGHT,0.8329,1.1855,-1.9415,4.0636,-1.381,3.623,0.0147,-0.2176,-1.0441,0.2002,1.0849,0.6275,0.9532,-0.000292,-0.0426,0.0088
0.065,FLIGHT,0.8274,1.2026,-1.3475,3.6001,-0.8455,3.212,0.0109,-0.2166,-0.838,0.2003,1.0851,0.5514,1.0185,-0.000494,-0.0375,0.008
0.07,FLIGHT,0.8243,1.2178,-0.8221,3.199,-0.3831,2.8689,0.008,-0.2157,-0.659,0.1934,1.0852,0.4759,1.0828,-0.000659,-0.0277,0.0062
0.075,FLIGHT,0.8234,1.2314,-0.367,2.8629,0.0096,2.5904,0.0057,-0.2149,-0.5073,0.1831,1.0852,0.4049,1.1429,-0.000765,-0.0145,0.0037
0.08,FLIGHT,0.8243,1.2438,0.0204,2.5891,0.3386,2.3703,0.0041,-0.2141,-0.3811,0.172,1.0851,0.3407,1.1973,-0.000799,0.0013,0.0008
0.085,FLIGHT,0.8267,1.2552,0.3457,2.372,0.6111,2.2009,0.0029,-0.2133,-0.278,0.1617,1.085,0.284,1.2452,-0.00075,0.0184,0.0008
0.09,FLIGHT,0.8304,1.2659,0.6154,2.2045,0.8342,2.0744,0.0021,-0.2126,-0.195,0.1529,1.0848,0.2348,1.2866,-0.000614,0.0362,0.0006
0.095,FLIGHT,0.835,1.276,0.8367,2.079,1.0152,1.9832,0.0016,-0.2119,-0.1292,0.146,1.0846,0.1927,1.322,-0.000389,0.0537,0.0004
0.1,FLIGHT,0.8405,1.2857,1.0164,1.9882,1.1606,1.9203,0.0013,-0.2112,-0.0779,0.1409,1.0844,0.1571,1.3519,-7.8e-05,0.0706,0.0001
0.105,FLIGHT,0.8466,1.2952,1.1617,1.9258,1.2789,1.881,0.0012,-0.2105,-0.0383,0.1376,1.0842,0.1268,1.3774,0.000247,0.0518,0.0
0.11,FLIGHT,0.8532,1.3046,1.2789,1.8861,1.3721,1.859,0.0012,-0.2098,-0.0083,0.1357,1.084,0.101,1.3991,0.000449,0.0304,0.0
0.115,FLIGHT,0.8602,1.3138,1.371,1.8635,1.4434,1.8495,0.0013,-0.2091,0.0137,0.1349,1.0838,0.0795,1.4172,0.000562,0.0156,0.0
0.12,FLIGHT,0.8676,1.3231,1.4418,1.8534,1.4967,1.8486,0.0015,-0.2085,0.0292,0.1351,1.0836,0.0617,1.4323,0.000613,0.0057,0.0
0.125,FLIGHT,0.8752,1.3323,1.4947,1.8518,1.5351,1.8533,0.0017,-0.2078,0.0397,0.1359,1.0834,0.047,1.4449,0.000625,-0.0006,0.0001
0.13,FLIGHT,0.8829,1.3416,1.533,1.8558,1.5616,1.8609,0.002,-0.2071,0.0463,0.137,1.0833,0.0348,1.4556,0.000612,-0.0042,0.0008
0.135,FLIGHT,0.8908,1.351,1.5593,1.8626,1.5781,1.8694,0.0023,-0.2064,0.0498,0.1384,1.0832,0.0247,1.4646,0.000585,-0.0061,0.0012
0.14,FLIGHT,0.8987,1.3603,1.5757,1.8704,1.5866,1.8773,0.0025,-0.2057,0.0512,0.1398,1.0831,0.0161,1.4724,0.000552,-0.0069,0.0014
0.145,FLIGHT,0.9066,1.3697,1.584,1.8776,1.5883,1.8833,0.0028,-0.205,0.0509,0.1411,1.0831,0.0088,1.4792,0.000518,-0.0068,0.0014
0.15,FLIGHT,0.9146,1.3792,1.5856,1.883,1.5844,1.8868,0.003,-0.2043,0.0495,0.1423,1.0831,0.0025,1.4853,0.000485,-0.0063,0.0013
0.155,FLIGHT,0.9225,1.3886,1.5816,1.8859,1.5758,1.8871,0.0033,-0.2036,0.0474,0.1433,1.0831,-0.0031,1.4908,0.000455,-0.0055,0.0011
0.16,FLIGHT,0.9303,1.398,1.5728,1.8856,1.563,1.8837,0.0035,-0.2029,0.0447,0.1441,1.0831,-0.0082,1.4959,0.00043,-0.0047,0.0009
0.165,FLIGHT,0.9381,1.4074,1.5599,1.8818,1.5467,1.8767,0.0037,-0.2022,0.0418,0.1445,1.0832,-0.0128,1.5007,0.000408,-0.0039,0.0008
0.17,FLIGHT,0.9458,1.4168,1.5434,1.8742,1.5272,1.8657,0.0039,-0.2014,0.0386,0.1446,1.0833,-0.017,1.5052,0.00039,-0.0032,0.0006
0.175,FLIGHT,0.9534,1.4261,1.5237,1.8628,1.5048,1.8509,0.0041,-0.2007,0.0355,0.1444,1.0834,-0.021,1.5096,0.000376,-0.0026,0.0005
0.18,FLIGHT,0.9608,1.4353,1.5012,1.8476,1.4799,1.8323,0.0042,-0.2,0.0323,0.1439,1.0835,-0.0249,1.5138,0.000364,-0.002,0.0004
0.185,FLIGHT,0.9682,1.4444,1.4762,1.8287,1.4526,1.81,0.0044,-0.1993,0.0293,0.1431,1.0836,-0.0285,1.518,0.000355,-0.0016,0.0003
0.19,FLIGHT,0.9754,1.4534,1.4488,1.8061,1.4232,1.7843,0.0045,-0.1986,0.0263,0.1419,1.0838,-0.032,1.522,0.000348,-0.0013,0.0003
0.195,FLIGHT,0.9824,1.4622,1.4192,1.78,1.3918,1.7552,0.0046,-0.1979,0.0234,0.1405,1.0839,-0.0354,1.5259,0.000343,-0.001,0.0002
0.2,FLIGHT,0.9893,1.4709,1.3876,1.7507,1.3585,1.723,0.0047,-0.1972,0.0207,0.1387,1.0841,-0.0387,1.5298,0.000338,-0.0008,0.0002
0.205,FLIGHT,0.996,1.4795,1.3542,1.7183,1.3235,1.688,0.0048,-0.1965,0.0181,0.1367,1.0842,-0.0419,1.5336,0.000334,-0.0007,0.0001
0.21,FLIGHT,1.0025,1.4878,1.3191,1.6831,1.2869,1.6504,0.0049,-0.1959,0.0157,0.1344,1.0843,-0.045,1.5374,0.000331,-0.0006,0.0001
0.215,FLIGHT,1.0088,1.4959,1.2824,1.6453,1.2489,1.6103,0.0049,-0.1952,0.0133,0.1319,1.0845,-0.048,1.5411,0.000328,-0.0006,0.0001
0.22,FLIGHT,1.015,1.5039,1.2443,1.6051,1.2095,1.568,0.005,-0.1946,0.0111,0.1291,1.0846,-0.0508,1.5447,0.000325,-0.0005,0.0001
0.225,FLIGHT,1.0209,1.5116,1.2049,1.5627,1.169,1.5238,0.005,-0.1939,0.009,0.1261,1.0847,-0.0536,1.5483,0.000323,-0.0005,0.0001
0.23,FLIGHT,1.0267,1.5191,1.1643,1.5183,1.1274,1.4778,0.0051,-0.1933,0.007,0.1229,1.0847,-0.0562,1.5517,0.00032,-0.0005,0.0001
0.235,FLIGHT,1.0322,1.5264,1.1226,1.4723,1.0849,1.4303,0.0051,-0.1928,0.0051,0.1196,1.0848,-0.0587,1.5551,0.000317,-0.0005,0.0001
0.24,FLIGHT,1.0375,1.5334,1.0801,1.4247,1.0416,1.3815,0.0051,-0.1922,0.0033,0.116,1.0848,-0.0611,1.5584,0.000315,-0.0006,0.0001
0.245,FLIGHT,1.0426,1.5402,1.0367,1.3758,0.9976,1.3315,0.0051,-0.1916,0.0016,0.1123,1.0848,-0.0634,1.5617,0.000312,-0.0006,0.0001
0.25,FLIGHT,1.0475,1.5467,0.9927,1.3259,0.953,1.2807,0.0051,-0.1911,-0.0001,0.1085,1.0847,-0.0655,1.5648,0.000309,-0.0006,0.0001
0.255,FLIGHT,1.0521,1.553,0.9482,1.275,0.9081,1.2291,0.0051,-0.1906,-0.0016,0.1046,1.0846,-0.0674,1.5678,0.000306,-0.0006,0.0001
0.26,FLIGHT,1.0566,1.559,0.9032,1.2234,0.8628,1.1769,0.0051,-0.1901,-0.0031,0.1006,1.0845,-0.0693,1.5707,0.000302,-0.0007,0.0001
0.265,FLIGHT,1.0608,1.5648,0.858,1.1712,0.8175,1.1243,0.0051,-0.1896,-0.0045,0.0965,1.0843,-0.071,1.5736,0.000299,-0.0007,0.0001
0.27,FLIGHT,1.0647,1.5703,0.8127,1.1187,0.772,1.0715,0.005,-0.1892,-0.0058,0.0924,1.0841,-0.0725,1.5763,0.000295,-0.0007,0.0001
0.275,FLIGHT,1.0685,1.5755,0.7673,1.066,0.7267,1.0186,0.005,-0.1887,-0.0071,0.0882,1.0839,-0.0739,1.5789,0.000292,-0.0007,0.0001
0.28,FLIGHT,1.072,1.5805,0.722,1.0131,0.6816,0.9658,0.0049,-0.1883,-0.0083,0.084,1.0836,-0.0751,1.5814,0.000288,-0.0007,0.0001
0.285,FLIGHT,1.0753,1.5852,0.677,0.9604,0.6368,0.9132,0.0049,-0.1879,-0.0094,0.0797,1.0832,-0.0762,1.5838,0.000284,-0.0008,0.0002
0.29,FLIGHT,1.0784,1.5896,0.6322,0.9078,0.5924,0.8609,0.0048,-0.1876,-0.0105,0.0755,1.0828,-0.0772,1.5861,0.00028,-0.0008,0.0002
0.295,FLIGHT,1.0812,1.5938,0.588,0.8556,0.5485,0.809,0.0048,-0.1872,-0.0115,0.0712,1.0823,-0.078,1.5883,0.000277,-0.0008,0.0002
0.3,FLIGHT,1.0839,1.5977,0.5442,0.8038,0.5053,0.7577,0.0047,-0.1869,-0.0124,0.067,1.0818,-0.0787,1.5904,0.000273,-0.0008,0.0002
0.305,FLIGHT,1.0863,1.6013,0.5011,0.7526,0.4628,0.707,0.0047,-0.1866,-0.0133,0.0628,1.0813,-0.0793,1.5923,0.000269,-0.0008,0.0002
0.31,FLIGHT,1.0885,1.6048,0.4587,0.7021,0.4211,0.6572,0.0046,-0.1863,-0.0141,0.0586,1.0807,-0.0797,1.5942,0.000265,-0.0008,0.0002
0.315,FLIGHT,1.0905,1.6079,0.4171,0.6523,0.3802,0.6081,0.0045,-0.186,-0.0148,0.0545,1.08,-0.08,1.5959,0.000261,-0.0008,0.0002
0.32,FLIGHT,1.0923,1.6108,0.3764,0.6035,0.3404,0.5601,0.0044,-0.1858,-0.0155,0.0504,1.0793,-0.0802,1.5976,0.000257,-0.0008,0.0002
0.325,FLIGHT,1.0939,1.6135,0.3367,0.5555,0.3016,0.513,0.0043,-0.1856,-0.0161,0.0464,1.0785,-0.0802,1.5991,0.000253,-0.0008,0.0002
0.33,FLIGHT,1.0953,1.616,0.298,0.5086,0.2639,0.467,0.0043,-0.1854,-0.0167,0.0425,1.0777,-0.0802,1.6005,0.00025,-0.0007,0.0001
0.335,FLIGHT,1.0965,1.6182,0.2604,0.4628,0.2273,0.4222,0.0042,-0.1852,-0.0172,0.0387,1.0768,-0.08,1.6019,0.000246,-0.0007,0.0001
0.34,FLIGHT,1.0976,1.6202,0.224,0.4181,0.1919,0.3786,0.0041,-0.185,-0.0176,0.0349,1.0759,-0.0798,1.6031,0.000242,-0.0007,0.0001
0.345,FLIGHT,1.0985,1.622,0.1888,0.3746,0.1578,0.3363,0.004,-0.1849,-0.018,0.0313,1.0749,-0.0794,1.6042,0.000239,-0.0007,0.0001
0.35,FLIGHT,1.0992,1.6236,0.1548,0.3325,0.125,0.2953,0.0039,-0.1847,-0.0183,0.0277,1.0739,-0.079,1.6053,0.000235,-0.0007,0.0001
0.355,FLIGHT,1.0997,1.6249,0.1222,0.2916,0.0935,0.2556,0.0038,-0.1846,-0.0186,0.0243,1.0728,-0.0785,1.6062,0.000232,-0.0007,0.0001
0.36,FLIGHT,1.1001,1.6261,0.0908,0.2521,0.0633,0.2173,0.0037,-0.1845,-0.0188,0.021,1.0717,-0.0779,1.6071,0.000229,-0.0006,0.0001
0.365,FLIGHT,1.1004,1.6271,0.0608,0.214,0.0345,0.1805,0.0036,-0.1844,-0.0189,0.0178,1.0706,-0.0772,1.6079,0.000226,-0.0006,0.0001
0.37,FLIGHT,1.1005,1.6279,0.0322,0.1773,0.0071,0.1451,0.0035,-0.1844,-0.019,0.0147,1.0694,-0.0765,1.6086,0.000223,-0.0006,0.0001
0.375,FLIGHT,1.1004,1.6286,0.0049,0.1421,-0.0189,0.1112,0.0034,-0.1843,-0.0191,0.0117,1.0681,-0.0757,1.6092,0.00022,-0.0006,0.0001
0.38,FLIGHT,1.1003,1.629,-0.021,0.1083,-0.0435,0.0787,0.0033,-0.1843,-0.0191,0.0088,1.0668,-0.0749,1.6097,0.000217,-0.0006,0.0001
0.385,FLIGHT,1.1,1.6294,-0.0454,0.076,-0.0667,0.0478,0.0032,-0.1842,-0.0191,0.0061,1.0655,-0.074,1.6102,0.000214,-0.0005,0.0001
0.39,FLIGHT,1.0996,1.6295,-0.0685,0.0453,-0.0885,0.0184,0.0031,-0.1842,-0.019,0.0035,1.0641,-0.0731,1.6105,0.000211,-0.0005,0.0001
0.395,FLIGHT,1.0991,1.6295,-0.0901,0.016,-0.1089,-0.0095,0.003,-0.1842,-0.0189,0.001,1.0627,-0.0721,1.6109,0.000209,-0.0005,0.0001
0.4,FLIGHT,1.0985,1.6294,-0.1104,-0.0118,-0.128,-0.036,0.003,-0.1842,-0.0187,-0.0013,1.0613,-0.0712,1.6111,0.000206,-0.0005,0.0001
0.405,FLIGHT,1.0978,1.6292,-0.1293,-0.038,-0.1457,-0.0609,0.0029,-0.1843,-0.0185,-0.0035,1.0598,-0.0701,1.6113,0.000204,-0.0005,0.0001
0.41,FLIGHT,1.0971,1.6288,-0.1469,-0.0628,-0.162,-0.0843,0.0028,-0.1843,-0.0182,-0.0056,1.0583,-0.0691,1.6114,0.000202,-0.0004,0.0001
0.415,FLIGHT,1.0962,1.6283,-0.1631,-0.0861,-0.177,-0.1063,0.0027,-0.1843,-0.018,-0.0076,1.0568,-0.0681,1.6115,0.0002,-0.0004,0.0001
0.42,FLIGHT,1.0953,1.6278,-0.178,-0.1079,-0.1908,-0.1267,0.0026,-0.1844,-0.0177,-0.0094,1.0552,-0.067,1.6115,0.000198,-0.0004,0.0001
0.425,FLIGHT,1.0943,1.6271,-0.1916,-0.1282,-0.2032,-0.1458,0.0025,-0.1845,-0.0173,-0.0111,1.0536,-0.0659,1.6115,0.000196,-0.0004,0.0001
0.43,FLIGHT,1.0933,1.6263,-0.204,-0.1471,-0.2145,-0.1634,0.0024,-0.1845,-0.017,-0.0127,1.052,-0.0648,1.6114,0.000194,-0.0003,0.0001
